id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,rate_multiplier
17_50_tips,6.0,0.0638297872340425,0.457253708,0.0875230951218098,50,,Phyloformer,0.25
9_50_tips,30.0,0.3191489361702128,0.1812462149999999,0.0326613500696561,50,,Phyloformer,0.25
11_50_tips,0.0,0.0,0.8264519500000003,0.16557974783008,50,,Phyloformer,0.25
0_50_tips,2.0,0.0212765957446808,0.3081806057999999,0.0623739579742235,50,,Phyloformer,0.25
1_50_tips,14.0,0.1489361702127659,0.3030137039999999,0.0586520318709266,50,,Phyloformer,0.25
14_50_tips,24.0,0.2553191489361702,0.3966936439999998,0.0971436989011624,50,,Phyloformer,0.25
6_50_tips,16.0,0.1702127659574468,0.5276550407999998,0.1029286301766058,50,,Phyloformer,0.25
18_50_tips,6.0,0.0638297872340425,1.1246486157000002,0.2653426717799206,50,,Phyloformer,0.25
5_50_tips,17.0,0.1789473684210526,0.3210971487,0.1030997821881307,50,,Phyloformer,0.25
3_50_tips,82.0,0.8723404255319149,0.0307639821999999,0.0063420909041061,50,,Phyloformer,0.25
4_50_tips,8.0,0.0851063829787234,0.340479243,0.0625676991330561,50,,Phyloformer,0.25
7_50_tips,20.0,0.2127659574468085,0.358356032,0.0705228484484033,50,,Phyloformer,0.25
13_50_tips,8.0,0.0851063829787234,0.267355476,0.0511790752861029,50,,Phyloformer,0.25
12_50_tips,40.0,0.425531914893617,0.094749229,0.0180296991449249,50,,Phyloformer,0.25
19_50_tips,12.0,0.1276595744680851,1.1596587250000003,0.2614522180954172,50,,Phyloformer,0.25
8_50_tips,34.0,0.3617021276595745,0.293229248248,0.0646092768559026,50,,Phyloformer,0.25
16_50_tips,42.0,0.4468085106382978,0.166812633,0.0342237754169282,50,,Phyloformer,0.25
2_50_tips,28.0,0.2978723404255319,0.3943322080999997,0.0914000813855467,50,,IQ-TREE,0.25
10_50_tips,30.0,0.3191489361702128,0.1909734508999999,0.0387081680664282,50,,IQ-TREE,0.25
15_50_tips,28.0,0.2978723404255319,0.1545881916,0.0298015432059875,50,,IQ-TREE,0.25
17_50_tips,6.0,0.0638297872340425,0.5090694178,0.1069904640503092,50,,IQ-TREE,0.25
9_50_tips,38.0,0.4042553191489361,0.2068980579999999,0.0377075949774454,50,,IQ-TREE,0.25
11_50_tips,4.0,0.0425531914893617,1.1824757647000002,0.2738198426054439,50,,IQ-TREE,0.25
1_50_tips,14.0,0.1489361702127659,0.3284198833999999,0.076891487161098,50,,IQ-TREE,0.25
0_50_tips,8.0,0.0851063829787234,0.2812576685999998,0.0563748846668038,50,,IQ-TREE,0.25
6_50_tips,12.0,0.1276595744680851,0.57456623,0.1269404927998419,50,,IQ-TREE,0.25
