id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,clock_rate,seq_length,model,saved_at
0_100_tips,30.0,0.1546391752577319,2.715862393000001,0.4790683820581535,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
12_100_tips,24.0,0.1237113402061855,1.7828928444999983,0.3035004302218507,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
5_200_tips,296.0,0.751269035532995,0.3430704474639981,0.0496547451340813,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
15_10_tips,6.0,0.4285714285714285,0.0406550656999999,0.0170968843940733,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
3_100_tips,4.0,0.0206185567010309,9.8997777919,1.4135809370453856,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
0_50_tips,8.0,0.0851063829787234,4.645573972200002,1.0480914724739527,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
2_100_tips,52.0,0.268041237113402,1.7955114673999988,0.2974044133939823,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
17_10_tips,4.0,0.2857142857142857,3.8679485182,2.0028681659979704,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
1_100_tips,26.0,0.134020618556701,3.2056522300000005,0.5359426980280484,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
5_100_tips,8.0,0.0412371134020618,4.727135609399999,1.189870281239212,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
10_10_tips,2.0,0.1428571428571428,4.924187918100001,2.437647555707452,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
9_20_tips,0.0,0.0,2.698078856,0.9365268541127147,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
4_200_tips,66.0,0.1675126903553299,8.84262710569998,1.2893418953058258,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
12_10_tips,2.0,0.1428571428571428,0.5448209251999999,0.4569460212031949,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
16_200_tips,50.0,0.1269035532994923,8.727542005999982,1.5879240595987052,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
11_10_tips,0.0,0.0,0.843518484,0.3685226237296028,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
3_20_tips,0.0,0.0,3.4754948479,1.2043342174715288,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
16_20_tips,2.0,0.0588235294117647,2.5455996447,1.095727946256982,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
8_200_tips,96.0,0.2436548223350254,3.605628784600005,0.4684653611720509,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
12_20_tips,4.0,0.1176470588235294,0.9062497811000002,0.3087779436241886,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
11_20_tips,6.0,0.1764705882352941,0.5111951503000001,0.2008689854938221,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
7_10_tips,8.0,0.5714285714285714,0.0395151516,0.0191967751888977,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
15_50_tips,6.0,0.0638297872340425,5.931050446400001,1.578454034346522,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
17_20_tips,0.0,0.0,2.3332269613000003,0.905278168334896,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
3_10_tips,4.0,0.2857142857142857,0.1085152332,0.0564259714777015,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
12_50_tips,34.0,0.3617021276595745,0.7295138345000004,0.188375945565652,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
4_20_tips,2.0,0.0588235294117647,5.4543921342,1.804482543117231,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
12_200_tips,48.0,0.1218274111675127,22.171352935100018,3.307874040593364,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
17_50_tips,16.0,0.1702127659574468,1.0841946401999991,0.3327111501041212,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
2_50_tips,8.0,0.0851063829787234,6.480230939400002,1.9687470435038683,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
14_20_tips,10.0,0.2941176470588235,0.074527091,0.029432923196389,20,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
19_100_tips,146.0,0.7525773195876289,0.1806889893000001,0.0267481733252804,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
5_10_tips,6.0,0.4285714285714285,0.0517973508,0.0246716659983009,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
7_100_tips,36.0,0.1855670103092783,4.136686982900002,0.7269484879842418,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
13_200_tips,354.0,0.8984771573604061,0.1580545132444002,0.0201972690280362,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
15_100_tips,44.0,0.2268041237113402,1.6520538181999982,0.2837073963471677,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
18_100_tips,30.0,0.1546391752577319,3.1355966907000004,0.5160572425317199,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
16_10_tips,0.0,0.0,3.4999678283999995,1.683005035661436,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
13_100_tips,164.0,0.845360824742268,0.1589895530500001,0.0316224618269796,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
1_10_tips,0.0,0.0,3.920910032700001,3.5520743132585344,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
14_100_tips,26.0,0.134020618556701,2.7227369735000013,0.4929514871758118,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
14_50_tips,10.0,0.1063829787234042,5.5738094598000005,1.2198485820462588,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
14_10_tips,0.0,0.0,1.3392775256999998,0.7462414243677187,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
18_10_tips,0.0,0.0,1.3499605746,0.6019205195475766,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
4_10_tips,0.0,0.0,1.2097537315000002,0.603438534988447,10,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
9_50_tips,12.0,0.1276595744680851,7.5194353662000015,2.3538048956674475,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
14_200_tips,102.0,0.2588832487309644,8.076300067599988,1.423346802613218,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
13_50_tips,4.0,0.0425531914893617,2.938758522400001,0.6647994940248709,50,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
10_100_tips,12.0,0.0618556701030927,3.855172393399999,0.6543380867078278,100,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
0_200_tips,152.0,0.3857868020304568,2.058243587570008,0.2739810129874147,200,,IQ-TREE,5808.244470834732,,1.0,300,Cherry,2026-09-18T10:03:58.900512
19_200_tips,392.0,1.0,26.10605382359997,2.2402881018785044,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
9_200_tips,393.0,1.0,11.256881852539989,1.1380058512410414,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
7_20_tips,10.0,0.2941176470588235,4.03555145,1.9488365309381,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
19_50_tips,90.0,1.0,13.7848594939,3.0477713168976406,50,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
8_20_tips,2.0,0.0588235294117647,3.644472880000001,1.333895784312069,20,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
13_10_tips,6.0,0.4285714285714285,0.088333592,0.0546463497907458,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
11_200_tips,392.0,1.0,19.7764269344,2.5287266076204418,200,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
8_10_tips,2.0,0.1428571428571428,1.2988660900000002,0.6534712978281902,10,,FastME,4.021851539611816,,1.0,300,Cherry,2026-09-18T10:03:58.900512
