id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb,requested_trees_per_tip_size,allow_duplicate_sequences,successful_alignments_for_tip_size,combo_name,model,clock_rate,seq_length,tree_type,n_per_size,saved_at
14_20_tips,2.0,0.0588235294117647,0.4111718892000001,0.2528725958092472,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
15_10_tips,0.0,0.0,0.943688112,0.5397972452472832,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
17_100_tips,22.0,0.1134020618556701,2.2311486476,0.4217284735414161,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
12_200_tips,40.0,0.1015228426395939,7.972034849000005,1.1436325545943946,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
5_200_tips,256.0,0.649746192893401,0.4292288975799971,0.0452079442985969,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
7_10_tips,2.0,0.1428571428571428,2.787550774,1.762242058576777,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
5_20_tips,2.0,0.0588235294117647,2.492905517,0.866900489556389,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
5_10_tips,0.0,0.0,0.0694938813,0.0500981475647275,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
4_100_tips,26.0,0.134020618556701,0.9375042754000004,0.1309996550615343,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
14_10_tips,2.0,0.1428571428571428,0.9996931026,0.8434328729911631,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
9_10_tips,2.0,0.1428571428571428,2.9282538440000003,1.8021288946204577,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
6_10_tips,0.0,0.0,1.0854639899,0.7973281563828265,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
11_200_tips,82.0,0.2081218274111675,1.7565562341999983,0.2432467447792776,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
1_100_tips,30.0,0.1546391752577319,1.6729576292999997,0.2567221416246361,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
5_100_tips,16.0,0.0824742268041237,2.4250313501000003,0.4704383042490268,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
18_50_tips,24.0,0.2553191489361702,0.2533911148,0.0650706783545984,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
18_100_tips,24.0,0.1237113402061855,1.789451894,0.2748974495839364,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
13_100_tips,34.0,0.1752577319587628,0.9565021302,0.1459813027275954,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
10_100_tips,42.0,0.2164948453608247,2.0600651701,0.5622802885133907,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
6_100_tips,16.0,0.0824742268041237,16.311244255000002,3.649627591112676,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
13_10_tips,0.0,0.0,0.1921033822999998,0.1027386673043459,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
1_20_tips,2.0,0.0588235294117647,0.5674831304999999,0.194714511426098,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
2_200_tips,60.0,0.1522842639593908,6.1265814916000005,1.423853416832982,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
9_20_tips,0.0,0.0,5.4931786964,3.1467116571253566,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
1_50_tips,10.0,0.1063829787234042,2.435323236,0.5488810612705891,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
12_20_tips,4.0,0.1176470588235294,1.8848296903,0.6704174419721557,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
10_10_tips,2.0,0.1428571428571428,3.2046280049,1.385105412815594,10,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
17_200_tips,54.0,0.1370558375634517,3.9429182447,0.4584531462559327,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
4_200_tips,82.0,0.2081218274111675,8.657025973699996,1.77302381760231,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
6_20_tips,2.0,0.0588235294117647,5.6393410816,2.6998790259443086,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
17_50_tips,8.0,0.0851063829787234,8.031347096099998,1.87280155976741,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
9_200_tips,40.0,0.1015228426395939,6.128404663100001,0.8829326099911545,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
4_50_tips,16.0,0.1702127659574468,0.4750993248999999,0.0897813164314775,50,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
0_200_tips,32.0,0.0812182741116751,6.499532497,0.9129781030547596,200,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
11_20_tips,8.0,0.2352941176470588,1.4090392284,0.3961214190506246,20,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
8_100_tips,20.0,0.1030927835051546,6.090735547299999,1.0922532620393572,100,,IQ-TREE,5709.326428413391,,20,True,20,TreeSize_SequenceLength,LG,1.0,250,birth-death,20,2026-09-19T12:49:26.019830
