id,rf,norm_rf,weighted_rf,kf_score,n_tips,marker,method,runtime_seconds,gpu_memory_mb
16_100_tips,172.0,0.8865979381443299,0.0621800076537999,0.0095449656480366,100,,Phyloformer,47.42806077003479,0.0
14_100_tips,44.0,0.2268041237113402,0.6840496502549995,0.1095129226443674,100,,Phyloformer,47.42806077003479,0.0
18_100_tips,52.0,0.268041237113402,0.3459491481,0.0571824746207316,100,,Phyloformer,47.42806077003479,0.0
11_100_tips,78.0,0.4020618556701031,0.3888114485,0.0575918719838327,100,,Phyloformer,47.42806077003479,0.0
3_100_tips,30.0,0.1546391752577319,1.4126236572999988,0.2273023070237726,100,,Phyloformer,47.42806077003479,0.0
4_100_tips,88.0,0.4536082474226804,0.2039357886,0.027666488939223,100,,Phyloformer,47.42806077003479,0.0
2_100_tips,24.0,0.1237113402061855,0.9048831850000004,0.1575601254722137,100,,Phyloformer,47.42806077003479,0.0
5_100_tips,184.0,0.9484536082474226,0.033633917,0.0054538361100052,100,,Phyloformer,47.42806077003479,0.0
9_100_tips,50.0,0.2577319587628865,0.3486178004999998,0.0549608949922755,100,,Phyloformer,47.42806077003479,0.0
19_100_tips,28.0,0.1443298969072164,1.5212482009999992,0.2235587050993435,100,,Phyloformer,47.42806077003479,0.0
0_100_tips,16.0,0.0824742268041237,2.0201021550000005,0.3325132797660347,100,,Phyloformer,47.42806077003479,0.0
1_100_tips,46.0,0.2371134020618556,1.0109037847999989,0.1647578390050989,100,,Phyloformer,47.42806077003479,0.0
12_100_tips,30.0,0.1546391752577319,0.6730136119999999,0.0952403926709741,100,,Phyloformer,47.42806077003479,0.0
13_100_tips,76.0,0.3917525773195876,0.3178009908999999,0.0456127578066675,100,,Phyloformer,47.42806077003479,0.0
10_100_tips,24.0,0.1237113402061855,0.5453176145999998,0.0793435707182792,100,,Phyloformer,47.42806077003479,0.0
7_100_tips,56.0,0.2886597938144329,0.4266781442999998,0.0638326322491307,100,,Phyloformer,47.42806077003479,0.0
15_100_tips,162.0,0.8350515463917526,0.1127269724779999,0.0223241738980466,100,,Phyloformer,47.42806077003479,0.0
